station_name,latitude,longitude,total_ridership,line,distance_to_bmo,distance_to_scotiabank,distance_to_rogers,is_near_venue,is_near_bmo,is_near_scotiabank,is_near_rogers
BLOOR-YONGE,43.67029182,-79.38554351,278174.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,4.920678292440747,3.0238763430533497,3.227570036176195,False,False,False,False
ST GEORGE,43.66827803,-79.39981373,209994.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,4.191895988655228,3.2199365317446635,3.1039053040746043,False,False,False,False
UNION,43.64576123,-79.37922964,136515.0,Line 1 Yonge-University,3.484516903256489,0.25165359575398505,0.9512611976389465,True,False,True,True
SHEPPARD-YONGE,43.76171034,-79.41236509,92828.0,Line 1 Yonge-University & Line 4 Sheppard,14.299352172952213,13.413636757296704,13.504679014489048,False,False,False,False
DUNDAS,43.6563103,-79.380383,72406.0,Line 1 Yonge-University,4.02603005349537,1.4281758118577752,1.809735735109675,True,False,True,True
FINCH,43.78176253,-79.41638058,70775.0,Line 1 Yonge-University,16.52064087284075,15.663361276404112,15.75753306083629,False,False,False,False
EGLINTON,43.70534682,-79.39835772,60814.0,Line 1 Yonge-University,8.190737461240156,7.049298815986413,7.146965464866004,False,False,False,False
KIPLING,43.63863852,-79.53437278,49392.0,Line 2 Bloor-Danforth,9.312459837709529,12.506370700539735,11.670093816625561,False,False,False,False
KENNEDY,43.73248795,-79.26399325,42881.0,Line 2 Bloor-Danforth,16.644947293152082,13.54887447934813,14.29221294854005,False,False,False,False
COLLEGE,43.66121356,-79.3826809,39137.0,Line 1 Yonge-University,4.265644687870349,1.9906162929317845,2.2685199185065295,True,False,True,False
SPADINA,43.66712906,-79.40459604,39080.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,3.9443666750584083,3.3332651921646392,3.1112055734228,False,False,False,False
QUEEN,43.65247044,-79.3781187,36714.0,Line 1 Yonge-University,3.9191857798256593,1.000587428658783,1.5294573006804895,True,False,True,True
KING,43.6491138,-79.37751988,35107.0,Line 1 Yonge-University,3.770804517750159,0.6370422076775798,1.2843242369585377,True,False,True,True
ST ANDREW,43.64745937,-79.38515665,34576.0,Line 1 Yonge-University,3.1443723909488925,0.6567565229597457,0.7553469222758382,True,False,True,True
PAPE,43.67989591,-79.34501561,34506.0,Line 2 Bloor-Danforth,7.892420051615245,4.888355770707922,5.574133573575121,False,False,False,False
QUEENS PARK,43.65981315,-79.39007445,34444.0,Line 1 Yonge-University,3.759863960386284,2.0174185226099692,2.0481678193809967,False,False,False,False
VICTORIA PARK,43.69454357,-79.28915706,32276.0,Line 2 Bloor-Danforth,12.467748080235772,9.195065638485453,9.996473422693334,False,False,False,False
BATHURST,43.66618465,-79.41129647,30598.0,Line 2 Bloor-Danforth,3.71839554787279,3.6155072936732946,3.270846691501495,False,False,False,False
DON MILLS,43.77542278,-79.34661547,28709.0,Line 4 Sheppard,16.848126570970688,14.8997059876952,15.294300229626783,False,False,False,False
ST CLAIR,43.68812105,-79.39298707,27336.0,Line 1 Yonge-University,6.452901630384038,5.085818840185152,5.203150081665816,False,False,False,False
DUFFERIN,43.66008769,-79.4355881,26800.0,Line 2 Bloor-Danforth,3.2774596632083384,4.90476825300559,4.257646871184249,False,False,False,False
ISLINGTON,43.6454226,-79.52407618,25023.0,Line 2 Bloor-Danforth,8.57212162555212,11.667423212713125,10.846094764956916,False,False,False,False
SHERBOURNE,43.67204089,-79.37644649,24689.0,Line 2 Bloor-Danforth,5.506262838741487,3.180773289216142,3.5629139047768166,False,False,False,False
ST PATRICK,43.65481796,-79.38802613,23989.0,Line 1 Yonge-University,3.4568649734896266,1.4490021897407044,1.4960984176081995,True,False,True,True
DUNDAS WEST,43.65693632,-79.45324212,23861.0,Line 2 Bloor-Danforth,3.821261961383101,6.1495055856537135,5.419361653456874,False,False,False,False
OSSINGTON,43.66239032,-79.42630256,22109.0,Line 2 Bloor-Danforth,3.300010841380272,4.339807162392193,3.77657444116488,False,False,False,False
WARDEN,43.71159702,-79.27946972,21843.0,Line 2 Bloor-Danforth,14.20372667500314,11.024192742663189,11.793479299120746,False,False,False,False
WILSON,43.73411172,-79.4512368,21579.0,Line 1 Yonge-University,11.518218843946203,11.625792079613854,11.445464961913714,False,False,False,False
LAWRENCE,43.72535419,-79.40193424,21197.0,Line 1 Yonge-University,10.337508143072553,9.28512743824959,9.389533283602113,False,False,False,False
ST CLAIR WEST,43.68404574,-79.41509401,21013.0,Line 1 Yonge-University,5.662072588010931,5.358101538639161,5.172839061828802,False,False,False,False
BAY,43.67028667,-79.39011534,20980.0,Line 2 Bloor-Danforth,4.729628012542172,3.1075706752136596,3.2125666460683546,False,False,False,False
YORK MILLS,43.74490955,-79.40636584,20498.0,Line 1 Yonge-University,12.462351865487586,11.487327488957888,11.590282853977044,False,False,False,False
YORK UNIVERSITY,43.77385041,-79.50015382,20447.0,Line 1 Yonge-University,16.948734836356593,17.457386780197933,17.209330064492157,False,False,False,False
LAWRENCE WEST,43.71579263,-79.44411111,19742.0,Line 1 Yonge-University,9.405041041293845,9.589108564382245,9.369401548984335,False,False,False,False
YORKDALE,43.72508658,-79.44773717,19725.0,Line 1 Yonge-University,10.477193103303613,10.618994933449256,10.421070604519514,False,False,False,False
SHEPPARD WEST,43.74992572,-79.46264786,19495.0,Line 1 Yonge-University,13.447471952621141,13.60731282646454,13.42770277869357,False,False,False,False
OSGOODE,43.65071214,-79.38681792,19323.0,Line 1 Yonge-University,3.2336350404084744,1.0142787191039258,1.0561001853630827,True,False,True,True
